Cr1             0.00000000   -0.14258222   -0.07483789    4.9247    3.7821
Cr2            -0.00000000    0.14258222    6.24483789    4.9251    3.7814
Cr3             1.96699985    3.54952624    0.07483789    4.9255    3.7821
Cr4             1.96699985    3.26436181    6.09516211    4.9250    3.7823
Cr5             1.96699985   -3.26436181    0.07483789    4.9258    3.7819
Cr6             1.96699985   -3.54952624    6.09516211    4.9252    3.7821
Cr7             3.93399970   -0.14258222   -0.07483789    4.9252    3.7820
Cr8             3.93399970    0.14258222    6.24483789    4.9250    3.7820
Cr9             0.00000000    0.00000000    3.08500000    5.0369    3.9429
Cr10            1.96699985    3.40694402    9.25500000    5.0362    3.9429
Cr11            1.96699985   -3.40694402    9.25500000    5.0371    3.9421
Cr12            3.93399970    0.00000000    3.08500000    5.0360    3.9426
Cr1 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr2 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr3 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr4 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr5 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr6 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr7 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr8 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr9 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr10 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr11 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr12 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
   Cr1   Cr10  ( -1,  -1,  -1)  0.7950   (-5.901,  3.550, -3.010)  7.515 
   Cr7   Cr10  (  1,   1,  -1)  0.7834   ( 5.901,  3.550, -3.010)  7.515 
   Cr1   Cr11  (  0,   1,  -1)  0.7816   ( 5.901,  3.550, -3.010)  7.515 
   Cr10  Cr7   ( -1,  -1,   1)  0.7834   (-5.901, -3.550,  3.010)  7.515 
   Cr10  Cr1   (  1,   1,   1)  0.7950   ( 5.901, -3.550,  3.010)  7.515 
   Cr11  Cr1   (  0,  -1,   1)  0.7816   (-5.901, -3.550,  3.010)  7.515 
   Cr3   Cr12  ( -1,  -1,   0)  0.7737   (-5.901, -3.550,  3.010)  7.515 
   Cr9   Cr6   ( -1,  -1,   0)  0.7805   (-5.901, -3.550,  3.010)  7.515 
   Cr4   Cr9   ( -1,   0,   0)  0.7698   (-5.901,  3.550, -3.010)  7.515 
   Cr8   Cr10  (  0,  -1,   0)  0.7871   (-5.901, -3.550,  3.010)  7.515 
   Cr9   Cr4   (  1,   0,   0)  0.7698   ( 5.901, -3.550,  3.010)  7.515 
   Cr6   Cr9   (  1,   1,   0)  0.7805   ( 5.901,  3.550, -3.010)  7.515 
   Cr12  Cr3   (  1,   1,   0)  0.7737   ( 5.901,  3.550, -3.010)  7.515 
   Cr6   Cr12  ( -1,  -1,   0)  0.7879   (-5.901,  3.550, -3.010)  7.515 
   Cr12  Cr6   (  1,   1,   0)  0.7879   ( 5.901, -3.550,  3.010)  7.515 
   Cr7   Cr11  ( -1,   0,  -1)  0.7582   (-5.901,  3.550, -3.010)  7.515 
   Cr11  Cr7   (  1,   0,   1)  0.7582   ( 5.901, -3.550,  3.010)  7.515 
   Cr4   Cr11  ( -1,   1,   0)  0.8435   (-0.000,  6.956,  3.160)  7.640 
   Cr11  Cr4   (  1,  -1,   0)  0.8435   ( 0.000, -6.956, -3.160)  7.640 
   Cr1   Cr12  ( -1,   0,   0)  0.8254   (-0.000,  6.956,  3.160)  7.640 
   Cr9   Cr8   ( -1,   0,   0)  0.8227   ( 0.000,  6.956,  3.160)  7.640 
   Cr2   Cr12  (  0,  -1,   0)  0.8327   ( 0.000, -6.956, -3.160)  7.640 
   Cr6   Cr10  (  0,   0,   0)  0.8314   (-0.000,  6.956,  3.160)  7.640 
   Cr10  Cr6   (  0,   0,   0)  0.8314   ( 0.000, -6.956, -3.160)  7.640 
   Cr12  Cr2   (  0,   1,   0)  0.8327   ( 0.000,  6.956,  3.160)  7.640 
   Cr8   Cr9   (  1,   0,   0)  0.8227   (-0.000, -6.956, -3.160)  7.640 
   Cr12  Cr1   (  1,   0,   0)  0.8254   ( 0.000, -6.956, -3.160)  7.640 
   Cr10  Cr5   ( -1,   1,   1)  0.8447   ( 0.000,  6.956,  3.160)  7.640 
   Cr5   Cr10  (  1,  -1,  -1)  0.8447   (-0.000, -6.956, -3.160)  7.640 
   Cr9   Cr7   (  0,  -1,   0)  0.8475   ( 0.000, -6.956, -3.160)  7.640 
   Cr7   Cr9   (  0,   1,   0)  0.8475   (-0.000,  6.956,  3.160)  7.640 
   Cr3   Cr11  (  0,   0,  -1)  0.8254   (-0.000, -6.956, -3.160)  7.640 
   Cr11  Cr3   (  0,   0,   1)  0.8254   ( 0.000,  6.956,  3.160)  7.640 
   Cr12  Cr12  (  1,   1,   0)  0.7433   ( 7.868,  0.000,  0.000)  7.868 
   Cr1   Cr1   ( -1,  -1,   0)  0.0850   (-7.868,  0.000,  0.000)  7.868 
   Cr2   Cr2   ( -1,  -1,   0)  0.0742   (-7.868,  0.000,  0.000)  7.868 
   Cr3   Cr3   ( -1,  -1,   0)  0.1083   (-7.868,  0.000,  0.000)  7.868 
   Cr4   Cr4   ( -1,  -1,   0)  0.0998   (-7.868,  0.000,  0.000)  7.868 
   Cr5   Cr5   ( -1,  -1,   0)  0.0916   (-7.868,  0.000,  0.000)  7.868 
   Cr6   Cr6   ( -1,  -1,   0)  0.1202   (-7.868,  0.000,  0.000)  7.868 
   Cr7   Cr7   ( -1,  -1,   0)  0.0549   (-7.868,  0.000,  0.000)  7.868 
   Cr8   Cr8   ( -1,  -1,   0)  0.0730   (-7.868,  0.000,  0.000)  7.868 
   Cr9   Cr9   ( -1,  -1,   0)  0.7415   (-7.868,  0.000,  0.000)  7.868 
   Cr10  Cr10  ( -1,  -1,   0)  0.7466   (-7.868,  0.000,  0.000)  7.868 
   Cr11  Cr11  ( -1,  -1,   0)  0.7539   (-7.868,  0.000,  0.000)  7.868 
   Cr12  Cr12  ( -1,  -1,   0)  0.7433   (-7.868,  0.000,  0.000)  7.868 
   Cr1   Cr1   (  1,   1,   0)  0.0850   ( 7.868,  0.000,  0.000)  7.868 
   Cr2   Cr2   (  1,   1,   0)  0.0742   ( 7.868,  0.000,  0.000)  7.868 
   Cr3   Cr3   (  1,   1,   0)  0.1083   ( 7.868,  0.000,  0.000)  7.868 
   Cr4   Cr4   (  1,   1,   0)  0.0998   ( 7.868,  0.000,  0.000)  7.868 
   Cr5   Cr5   (  1,   1,   0)  0.0916   ( 7.868,  0.000,  0.000)  7.868 
   Cr6   Cr6   (  1,   1,   0)  0.1202   ( 7.868,  0.000,  0.000)  7.868 
   Cr7   Cr7   (  1,   1,   0)  0.0549   ( 7.868,  0.000,  0.000)  7.868 
   Cr8   Cr8   (  1,   1,   0)  0.0730   ( 7.868,  0.000,  0.000)  7.868 
   Cr9   Cr9   (  1,   1,   0)  0.7415   ( 7.868,  0.000,  0.000)  7.868 
   Cr10  Cr10  (  1,   1,   0)  0.7466   ( 7.868,  0.000,  0.000)  7.868 
   Cr11  Cr11  (  1,   1,   0)  0.7539   ( 7.868,  0.000,  0.000)  7.868 
   Cr1   Cr1   ( -1,   0,   0)  0.4310   (-3.934,  6.814,  0.000)  7.868 
   Cr2   Cr2   ( -1,   0,   0)  0.4241   (-3.934,  6.814,  0.000)  7.868 
   Cr3   Cr3   ( -1,   0,   0)  0.4277   (-3.934,  6.814,  0.000)  7.868 
   Cr5   Cr5   ( -1,   0,   0)  0.4536   (-3.934,  6.814,  0.000)  7.868 
   Cr6   Cr6   ( -1,   0,   0)  0.4464   (-3.934,  6.814,  0.000)  7.868 
   Cr7   Cr7   ( -1,   0,   0)  0.4305   (-3.934,  6.814,  0.000)  7.868 
   Cr8   Cr8   ( -1,   0,   0)  0.4285   (-3.934,  6.814,  0.000)  7.868 
   Cr9   Cr9   ( -1,   0,   0)  0.2741   (-3.934,  6.814,  0.000)  7.868 
   Cr11  Cr11  ( -1,   0,   0)  0.2573   (-3.934,  6.814,  0.000)  7.868 
   Cr12  Cr12  ( -1,   0,   0)  0.2258   (-3.934,  6.814,  0.000)  7.868 
   Cr1   Cr1   (  0,  -1,   0)  0.4218   (-3.934, -6.814,  0.000)  7.868 
   Cr2   Cr2   (  0,  -1,   0)  0.4140   (-3.934, -6.814,  0.000)  7.868 
   Cr3   Cr3   (  0,  -1,   0)  0.4476   (-3.934, -6.814,  0.000)  7.868 
   Cr4   Cr4   (  0,  -1,   0)  0.4444   (-3.934, -6.814,  0.000)  7.868 
   Cr6   Cr6   (  0,  -1,   0)  0.4306   (-3.934, -6.814,  0.000)  7.868 
   Cr7   Cr7   (  0,  -1,   0)  0.4274   (-3.934, -6.814,  0.000)  7.868 
   Cr8   Cr8   (  0,  -1,   0)  0.4287   (-3.934, -6.814,  0.000)  7.868 
   Cr9   Cr9   (  0,  -1,   0)  0.2475   (-3.934, -6.814,  0.000)  7.868 
   Cr10  Cr10  (  0,  -1,   0)  0.2518   (-3.934, -6.814,  0.000)  7.868 
   Cr12  Cr12  (  0,  -1,   0)  0.2558   (-3.934, -6.814,  0.000)  7.868 
   Cr1   Cr1   (  0,   1,   0)  0.4218   ( 3.934,  6.814,  0.000)  7.868 
   Cr2   Cr2   (  0,   1,   0)  0.4140   ( 3.934,  6.814,  0.000)  7.868 
   Cr3   Cr3   (  0,   1,   0)  0.4476   ( 3.934,  6.814,  0.000)  7.868 
   Cr5   Cr5   (  0,   1,   0)  0.4387   ( 3.934,  6.814,  0.000)  7.868 
   Cr9   Cr9   (  0,   1,   0)  0.2475   ( 3.934,  6.814,  0.000)  7.868 
   Cr11  Cr11  (  0,   1,   0)  0.2609   ( 3.934,  6.814,  0.000)  7.868 
   Cr12  Cr12  (  0,   1,   0)  0.2558   ( 3.934,  6.814,  0.000)  7.868 
   Cr1   Cr1   (  1,   0,   0)  0.4310   ( 3.934, -6.814,  0.000)  7.868 
   Cr2   Cr2   (  1,   0,   0)  0.4241   ( 3.934, -6.814,  0.000)  7.868 
   Cr3   Cr3   (  1,   0,   0)  0.4277   ( 3.934, -6.814,  0.000)  7.868 
   Cr4   Cr4   (  1,   0,   0)  0.4233   ( 3.934, -6.814,  0.000)  7.868 
   Cr9   Cr9   (  1,   0,   0)  0.2741   ( 3.934, -6.814,  0.000)  7.868 
   Cr10  Cr10  (  1,   0,   0)  0.2676   ( 3.934, -6.814,  0.000)  7.868 
   Cr12  Cr12  (  1,   0,   0)  0.2258   ( 3.934, -6.814,  0.000)  7.868 
   Cr4   Cr4   ( -1,   0,   0)  0.4233   (-3.934,  6.814,  0.000)  7.868 
   Cr10  Cr10  ( -1,   0,   0)  0.2676   (-3.934,  6.814,  0.000)  7.868 
   Cr5   Cr5   (  0,  -1,   0)  0.4387   (-3.934, -6.814,  0.000)  7.868 
   Cr11  Cr11  (  0,  -1,   0)  0.2609   (-3.934, -6.814,  0.000)  7.868 
   Cr4   Cr4   (  0,   1,   0)  0.4444   ( 3.934,  6.814,  0.000)  7.868 
   Cr6   Cr6   (  0,   1,   0)  0.4306   ( 3.934,  6.814,  0.000)  7.868 
   Cr7   Cr7   (  0,   1,   0)  0.4274   ( 3.934,  6.814,  0.000)  7.868 
   Cr8   Cr8   (  0,   1,   0)  0.4287   ( 3.934,  6.814,  0.000)  7.868 
   Cr10  Cr10  (  0,   1,   0)  0.2518   ( 3.934,  6.814,  0.000)  7.868 
   Cr5   Cr5   (  1,   0,   0)  0.4536   ( 3.934, -6.814,  0.000)  7.868 
   Cr6   Cr6   (  1,   0,   0)  0.4464   ( 3.934, -6.814,  0.000)  7.868 
   Cr7   Cr7   (  1,   0,   0)  0.4305   ( 3.934, -6.814,  0.000)  7.868 
   Cr8   Cr8   (  1,   0,   0)  0.4285   ( 3.934, -6.814,  0.000)  7.868 
   Cr11  Cr11  (  1,   0,   0)  0.2573   ( 3.934, -6.814,  0.000)  7.868 
   Cr11  Cr6   ( -1,   0,   0)  0.2653   (-3.934,  6.671, -3.160)  8.365 
   Cr6   Cr11  (  1,   0,   0)  0.2653   ( 3.934, -6.671,  3.160)  8.365 
   Cr12  Cr7   ( -1,   0,   0)  0.2413   (-3.934,  6.671, -3.160)  8.365 
   Cr6   Cr11  (  0,  -1,   0)  0.2667   (-3.934, -6.671,  3.160)  8.365 
   Cr11  Cr6   (  0,   1,   0)  0.2667   ( 3.934,  6.671, -3.160)  8.365 
   Cr4   Cr10  (  1,   0,   0)  0.2619   ( 3.934, -6.671,  3.160)  8.365 
   Cr7   Cr12  (  1,   0,   0)  0.2413   ( 3.934, -6.671,  3.160)  8.365 
   Cr3   Cr10  (  0,   1,  -1)  0.2777   ( 3.934,  6.671, -3.160)  8.365 
   Cr10  Cr3   (  0,  -1,   1)  0.2777   (-3.934, -6.671,  3.160)  8.365 
   Cr10  Cr3   (  1,   0,   1)  0.2614   ( 3.934, -6.671,  3.160)  8.365 
   Cr2   Cr9   ( -1,   0,   0)  0.2786   (-3.934,  6.671, -3.160)  8.365 
   Cr8   Cr12  ( -1,   0,   0)  0.2556   (-3.934,  6.671, -3.160)  8.365 
   Cr9   Cr1   ( -1,   0,   0)  0.2652   (-3.934,  6.671, -3.160)  8.365 
   Cr10  Cr4   ( -1,   0,   0)  0.2619   (-3.934,  6.671, -3.160)  8.365 
   Cr1   Cr9   (  0,  -1,   0)  0.2646   (-3.934, -6.671,  3.160)  8.365 
   Cr4   Cr10  (  0,  -1,   0)  0.2501   (-3.934, -6.671,  3.160)  8.365 
   Cr7   Cr12  (  0,  -1,   0)  0.2586   (-3.934, -6.671,  3.160)  8.365 
   Cr9   Cr2   (  0,  -1,   0)  0.2641   (-3.934, -6.671,  3.160)  8.365 
   Cr12  Cr8   (  0,  -1,   0)  0.2702   (-3.934, -6.671,  3.160)  8.365 
   Cr2   Cr9   (  0,   1,   0)  0.2641   ( 3.934,  6.671, -3.160)  8.365 
   Cr8   Cr12  (  0,   1,   0)  0.2702   ( 3.934,  6.671, -3.160)  8.365 
   Cr9   Cr1   (  0,   1,   0)  0.2646   ( 3.934,  6.671, -3.160)  8.365 
   Cr10  Cr4   (  0,   1,   0)  0.2501   ( 3.934,  6.671, -3.160)  8.365 
   Cr12  Cr7   (  0,   1,   0)  0.2586   ( 3.934,  6.671, -3.160)  8.365 
   Cr1   Cr9   (  1,   0,   0)  0.2652   ( 3.934, -6.671,  3.160)  8.365 
   Cr9   Cr2   (  1,   0,   0)  0.2786   ( 3.934, -6.671,  3.160)  8.365 
   Cr12  Cr8   (  1,   0,   0)  0.2556   ( 3.934, -6.671,  3.160)  8.365 
   Cr3   Cr10  ( -1,   0,  -1)  0.2614   (-3.934,  6.671, -3.160)  8.365 
   Cr5   Cr11  (  0,   1,  -1)  0.2545   ( 3.934,  6.671, -3.160)  8.365 
   Cr5   Cr11  ( -1,   0,  -1)  0.2494   (-3.934,  6.671, -3.160)  8.365 
   Cr11  Cr5   (  0,  -1,   1)  0.2545   (-3.934, -6.671,  3.160)  8.365 
   Cr11  Cr5   (  1,   0,   1)  0.2494   ( 3.934, -6.671,  3.160)  8.365 
   Cr12  Cr7   ( -1,  -1,   0) -0.1350   (-7.868, -0.143, -3.160)  8.480 
   Cr12  Cr8   ( -1,  -1,   0) -0.1314   (-7.868,  0.143,  3.160)  8.480 
   Cr7   Cr12  (  1,   1,   0) -0.1350   ( 7.868,  0.143,  3.160)  8.480 
   Cr8   Cr12  (  1,   1,   0) -0.1314   ( 7.868, -0.143, -3.160)  8.480 
   Cr1   Cr9   ( -1,  -1,   0) -0.1372   (-7.868,  0.143,  3.160)  8.480 
   Cr2   Cr9   ( -1,  -1,   0) -0.1301   (-7.868, -0.143, -3.160)  8.480 
   Cr4   Cr10  ( -1,  -1,   0) -0.1130   (-7.868,  0.143,  3.160)  8.480 
   Cr6   Cr11  ( -1,  -1,   0) -0.1135   (-7.868,  0.143,  3.160)  8.480 
   Cr9   Cr1   ( -1,  -1,   0) -0.1133   (-7.868, -0.143, -3.160)  8.480 
   Cr9   Cr2   ( -1,  -1,   0) -0.1279   (-7.868,  0.143,  3.160)  8.480 
   Cr10  Cr4   ( -1,  -1,   0) -0.1146   (-7.868, -0.143, -3.160)  8.480 
   Cr11  Cr6   ( -1,  -1,   0) -0.1159   (-7.868, -0.143, -3.160)  8.480 
   Cr1   Cr9   (  1,   1,   0) -0.1133   ( 7.868,  0.143,  3.160)  8.480 
   Cr2   Cr9   (  1,   1,   0) -0.1279   ( 7.868, -0.143, -3.160)  8.480 
   Cr4   Cr10  (  1,   1,   0) -0.1146   ( 7.868,  0.143,  3.160)  8.480 
   Cr6   Cr11  (  1,   1,   0) -0.1159   ( 7.868,  0.143,  3.160)  8.480 
   Cr9   Cr1   (  1,   1,   0) -0.1372   ( 7.868, -0.143, -3.160)  8.480 
   Cr9   Cr2   (  1,   1,   0) -0.1301   ( 7.868,  0.143,  3.160)  8.480 
   Cr10  Cr4   (  1,   1,   0) -0.1130   ( 7.868, -0.143, -3.160)  8.480 
   Cr11  Cr6   (  1,   1,   0) -0.1135   ( 7.868, -0.143, -3.160)  8.480 
   Cr3   Cr10  ( -1,  -1,  -1) -0.1094   (-7.868, -0.143, -3.160)  8.480 
   Cr5   Cr11  ( -1,  -1,  -1) -0.1278   (-7.868, -0.143, -3.160)  8.480 
   Cr3   Cr10  (  1,   1,  -1) -0.1281   ( 7.868, -0.143, -3.160)  8.480 
   Cr5   Cr11  (  1,   1,  -1) -0.1233   ( 7.868, -0.143, -3.160)  8.480 
   Cr10  Cr3   ( -1,  -1,   1) -0.1281   (-7.868,  0.143,  3.160)  8.480 
   Cr11  Cr5   ( -1,  -1,   1) -0.1233   (-7.868,  0.143,  3.160)  8.480 
   Cr10  Cr3   (  1,   1,   1) -0.1094   ( 7.868,  0.143,  3.160)  8.480 
   Cr11  Cr5   (  1,   1,   1) -0.1278   ( 7.868,  0.143,  3.160)  8.480 
   Cr7   Cr12  ( -1,  -1,   0) -0.1188   (-7.868,  0.143,  3.160)  8.480 
   Cr8   Cr12  ( -1,  -1,   0) -0.1315   (-7.868, -0.143, -3.160)  8.480 
   Cr12  Cr7   (  1,   1,   0) -0.1188   ( 7.868, -0.143, -3.160)  8.480 
   Cr12  Cr8   (  1,   1,   0) -0.1315   ( 7.868,  0.143,  3.160)  8.480 
   Cr10  Cr4   (  0,  -1,   0) -0.0353   (-3.934, -6.956, -3.160)  8.594 
   Cr4   Cr10  ( -1,   0,   0) -0.0117   (-3.934,  6.956,  3.160)  8.594 
   Cr12  Cr7   (  0,  -1,   0) -0.0083   (-3.934, -6.956, -3.160)  8.594 
   Cr4   Cr10  (  0,   1,   0) -0.0353   ( 3.934,  6.956,  3.160)  8.594 
   Cr6   Cr11  (  0,   1,   0) -0.0143   ( 3.934,  6.956,  3.160)  8.594 
   Cr7   Cr12  (  0,   1,   0) -0.0083   ( 3.934,  6.956,  3.160)  8.594 
   Cr10  Cr4   (  1,   0,   0) -0.0117   ( 3.934, -6.956, -3.160)  8.594 
   Cr11  Cr5   ( -1,   0,   1) -0.0111   (-3.934,  6.956,  3.160)  8.594 
   Cr1   Cr9   ( -1,   0,   0) -0.0038   (-3.934,  6.956,  3.160)  8.594 
   Cr6   Cr11  ( -1,   0,   0) -0.0343   (-3.934,  6.956,  3.160)  8.594 
   Cr7   Cr12  ( -1,   0,   0) -0.0299   (-3.934,  6.956,  3.160)  8.594 
   Cr9   Cr2   ( -1,   0,   0)  0.0024   (-3.934,  6.956,  3.160)  8.594 
   Cr12  Cr8   ( -1,   0,   0) -0.0414   (-3.934,  6.956,  3.160)  8.594 
   Cr2   Cr9   (  0,  -1,   0) -0.0183   (-3.934, -6.956, -3.160)  8.594 
   Cr8   Cr12  (  0,  -1,   0) -0.0234   (-3.934, -6.956, -3.160)  8.594 
   Cr9   Cr1   (  0,  -1,   0) -0.0197   (-3.934, -6.956, -3.160)  8.594 
   Cr11  Cr6   (  0,  -1,   0) -0.0143   (-3.934, -6.956, -3.160)  8.594 
   Cr1   Cr9   (  0,   1,   0) -0.0197   ( 3.934,  6.956,  3.160)  8.594 
   Cr9   Cr2   (  0,   1,   0) -0.0183   ( 3.934,  6.956,  3.160)  8.594 
   Cr12  Cr8   (  0,   1,   0) -0.0234   ( 3.934,  6.956,  3.160)  8.594 
   Cr2   Cr9   (  1,   0,   0)  0.0024   ( 3.934, -6.956, -3.160)  8.594 
   Cr8   Cr12  (  1,   0,   0) -0.0414   ( 3.934, -6.956, -3.160)  8.594 
   Cr9   Cr1   (  1,   0,   0) -0.0038   ( 3.934, -6.956, -3.160)  8.594 
   Cr11  Cr6   (  1,   0,   0) -0.0343   ( 3.934, -6.956, -3.160)  8.594 
   Cr12  Cr7   (  1,   0,   0) -0.0299   ( 3.934, -6.956, -3.160)  8.594 
   Cr5   Cr11  (  0,  -1,  -1) -0.0020   (-3.934, -6.956, -3.160)  8.594 
   Cr3   Cr10  (  1,   0,  -1) -0.0417   ( 3.934, -6.956, -3.160)  8.594 
   Cr5   Cr11  (  1,   0,  -1) -0.0111   ( 3.934, -6.956, -3.160)  8.594 
   Cr10  Cr3   ( -1,   0,   1) -0.0417   (-3.934,  6.956,  3.160)  8.594 
   Cr11  Cr5   (  0,   1,   1) -0.0020   ( 3.934,  6.956,  3.160)  8.594 
   Cr3   Cr10  (  0,  -1,  -1) -0.0284   (-3.934, -6.956, -3.160)  8.594 
   Cr10  Cr3   (  0,   1,   1) -0.0284   ( 3.934,  6.956,  3.160)  8.594 
   Cr3   Cr6   ( -1,   1,   0)  0.1400   ( 0.000,  6.529,  6.020)  8.881 
   Cr6   Cr3   (  1,  -1,   0)  0.1400   (-0.000, -6.529, -6.020)  8.881 
   Cr1   Cr8   (  0,  -1,  -1)  0.1406   ( 0.000, -6.529, -6.020)  8.881 
   Cr7   Cr2   (  1,   0,  -1)  0.1335   (-0.000, -6.529, -6.020)  8.881 
   Cr2   Cr7   ( -1,   0,   1)  0.1335   ( 0.000,  6.529,  6.020)  8.881 
   Cr8   Cr1   (  0,   1,   1)  0.1406   (-0.000,  6.529,  6.020)  8.881 
   Cr4   Cr5   (  0,   0,   0)  0.1388   ( 0.000, -6.529, -6.020)  8.881 
   Cr5   Cr4   (  0,   0,   0)  0.1388   ( 0.000,  6.529,  6.020)  8.881 
   Cr3   Cr6   ( -1,   1,  -1) -1.2526   ( 0.000,  6.529, -6.320)  9.086 
   Cr6   Cr3   (  1,  -1,   1) -1.2526   (-0.000, -6.529,  6.320)  9.086 
   Cr2   Cr7   ( -1,   0,   0) -1.2307   ( 0.000,  6.529, -6.320)  9.086 
   Cr1   Cr8   (  0,  -1,   0) -1.2399   ( 0.000, -6.529,  6.320)  9.086 
   Cr8   Cr1   (  0,   1,   0) -1.2399   (-0.000,  6.529, -6.320)  9.086 
   Cr7   Cr2   (  1,   0,   0) -1.2307   (-0.000, -6.529,  6.320)  9.086 
   Cr5   Cr4   (  0,   0,  -1) -1.2230   ( 0.000,  6.529, -6.320)  9.086 
   Cr4   Cr5   (  0,   0,   1) -1.2230   ( 0.000, -6.529,  6.320)  9.086 
   Cr3   Cr10  (  0,   0,   0)  0.0501   (-0.000, -0.143,  9.180)  9.181 
   Cr5   Cr11  (  0,   0,   0)  0.0444   (-0.000, -0.143,  9.180)  9.181 
   Cr10  Cr3   (  0,   0,   0)  0.0501   ( 0.000,  0.143, -9.180)  9.181 
   Cr11  Cr5   (  0,   0,   0)  0.0444   ( 0.000,  0.143, -9.180)  9.181 
   Cr1   Cr9   (  0,   0,  -1)  0.0563   (-0.000,  0.143, -9.180)  9.181 
   Cr7   Cr12  (  0,   0,  -1)  0.0401   (-0.000,  0.143, -9.180)  9.181 
   Cr9   Cr2   (  0,   0,  -1)  0.0456   (-0.000,  0.143, -9.180)  9.181 
   Cr12  Cr8   (  0,   0,  -1)  0.0515   ( 0.000,  0.143, -9.180)  9.181 
   Cr2   Cr9   (  0,   0,   1)  0.0456   ( 0.000, -0.143,  9.180)  9.181 
   Cr8   Cr12  (  0,   0,   1)  0.0515   (-0.000, -0.143,  9.180)  9.181 
   Cr9   Cr1   (  0,   0,   1)  0.0563   ( 0.000, -0.143,  9.180)  9.181 
   Cr10  Cr4   (  0,   0,   1)  0.0494   ( 0.000, -0.143,  9.180)  9.181 
   Cr11  Cr6   (  0,   0,   1)  0.0487   ( 0.000, -0.143,  9.180)  9.181 
   Cr12  Cr7   (  0,   0,   1)  0.0401   ( 0.000, -0.143,  9.180)  9.181 
   Cr4   Cr10  (  0,   0,  -1)  0.0494   (-0.000,  0.143, -9.180)  9.181 
   Cr6   Cr11  (  0,   0,  -1)  0.0487   (-0.000,  0.143, -9.180)  9.181 
   Cr9   Cr10  ( -1,  -1,   0)  0.2074   (-5.901,  3.407,  6.170)  9.192 
   Cr9   Cr11  ( -1,  -1,   0)  3.0968   (-5.901, -3.407,  6.170)  9.192 
   Cr10  Cr12  ( -1,  -1,   0)  0.1895   (-5.901, -3.407, -6.170)  9.192 
   Cr11  Cr12  ( -1,  -1,   0)  3.0876   (-5.901,  3.407, -6.170)  9.192 
   Cr10  Cr9   ( -1,   0,   0)  3.0569   (-5.901,  3.407, -6.170)  9.192 
   Cr12  Cr11  ( -1,   0,   0)  0.1942   (-5.901,  3.407,  6.170)  9.192 
   Cr11  Cr9   (  0,  -1,   0)  0.2064   (-5.901, -3.407, -6.170)  9.192 
   Cr12  Cr10  (  0,  -1,   0)  3.0826   (-5.901, -3.407,  6.170)  9.192 
   Cr9   Cr11  (  0,   1,   0)  0.2064   ( 5.901,  3.407,  6.170)  9.192 
   Cr10  Cr12  (  0,   1,   0)  3.0826   ( 5.901,  3.407, -6.170)  9.192 
   Cr9   Cr10  (  1,   0,   0)  3.0569   ( 5.901, -3.407,  6.170)  9.192 
   Cr11  Cr12  (  1,   0,   0)  0.1942   ( 5.901, -3.407, -6.170)  9.192 
   Cr10  Cr9   (  1,   1,   0)  0.2074   ( 5.901, -3.407, -6.170)  9.192 
   Cr11  Cr9   (  1,   1,   0)  3.0968   ( 5.901,  3.407, -6.170)  9.192 
   Cr1   Cr4   ( -1,  -1,  -1)  0.0116   (-5.901,  3.407, -6.170)  9.192 
   Cr1   Cr6   ( -1,  -1,  -1)  0.5763   (-5.901, -3.407, -6.170)  9.192 
   Cr7   Cr4   (  0,  -1,  -1)  0.5550   (-5.901, -3.407, -6.170)  9.192 
   Cr1   Cr4   (  1,   0,  -1)  0.5528   ( 5.901, -3.407, -6.170)  9.192 
   Cr7   Cr4   (  1,   1,  -1)  0.0093   ( 5.901,  3.407, -6.170)  9.192 
   Cr7   Cr6   (  1,   1,  -1)  0.5486   ( 5.901, -3.407, -6.170)  9.192 
   Cr7   Cr6   ( -1,   0,  -1)  0.0104   (-5.901,  3.407, -6.170)  9.192 
   Cr1   Cr6   (  0,   1,  -1)  0.0108   ( 5.901,  3.407, -6.170)  9.192 
   Cr4   Cr7   ( -1,  -1,   1)  0.0093   (-5.901, -3.407,  6.170)  9.192 
   Cr6   Cr7   ( -1,  -1,   1)  0.5486   (-5.901,  3.407,  6.170)  9.192 
   Cr4   Cr1   ( -1,   0,   1)  0.5528   (-5.901,  3.407,  6.170)  9.192 
   Cr4   Cr7   (  0,   1,   1)  0.5550   ( 5.901,  3.407,  6.170)  9.192 
   Cr4   Cr1   (  1,   1,   1)  0.0116   ( 5.901, -3.407,  6.170)  9.192 
