Cr1             0.00000000   -0.14258222   -0.07483789    4.9247    3.7821
Cr2            -0.00000000    0.14258222    6.24483789    4.9251    3.7814
Cr3             1.96699985    3.54952624    0.07483789    4.9255    3.7821
Cr4             1.96699985    3.26436181    6.09516211    4.9250    3.7823
Cr5             1.96699985   -3.26436181    0.07483789    4.9258    3.7819
Cr6             1.96699985   -3.54952624    6.09516211    4.9252    3.7821
Cr7             3.93399970   -0.14258222   -0.07483789    4.9252    3.7820
Cr8             3.93399970    0.14258222    6.24483789    4.9250    3.7820
Cr9             0.00000000    0.00000000    3.08500000    5.0369    3.9429
Cr10            1.96699985    3.40694402    9.25500000    5.0362    3.9429
Cr11            1.96699985   -3.40694402    9.25500000    5.0371    3.9421
Cr12            3.93399970    0.00000000    3.08500000    5.0360    3.9426
Cr1 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr2 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr3 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr4 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr5 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr6 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr7 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr8 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr9 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr10 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr11 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
Cr12 : ['orb_1', 'orb_2', 'orb_3', 'orb_4', 'orb_5']
   Cr2   Cr6   (  0,   0,   0)  4.3488   ( 1.967, -3.692, -0.150)  4.186 
   Cr3   Cr7   (  0,   0,   0)  4.3300   ( 1.967, -3.692, -0.150)  4.186 
   Cr6   Cr2   (  0,   0,   0)  4.3488   (-1.967,  3.692,  0.150)  4.186 
   Cr6   Cr8   (  0,   0,   0)  4.3019   ( 1.967,  3.692,  0.150)  4.186 
   Cr7   Cr3   (  0,   0,   0)  4.3300   (-1.967,  3.692,  0.150)  4.186 
   Cr8   Cr6   (  0,   0,   0)  4.3019   (-1.967, -3.692, -0.150)  4.186 
   Cr11  Cr8   (  0,  -1,   0)  8.7269   (-1.967, -3.264, -3.010)  4.857 
   Cr8   Cr11  (  0,   1,   0)  8.7269   ( 1.967,  3.264,  3.010)  4.857 
   Cr2   Cr11  ( -1,   0,   0)  8.6701   (-1.967,  3.264,  3.010)  4.857 
   Cr9   Cr3   (  0,  -1,   0)  8.6758   (-1.967, -3.264, -3.010)  4.857 
   Cr2   Cr10  (  0,   0,   0)  8.5238   ( 1.967,  3.264,  3.010)  4.857 
   Cr8   Cr10  (  0,   0,   0)  8.5205   (-1.967,  3.264,  3.010)  4.857 
   Cr10  Cr2   (  0,   0,   0)  8.5238   (-1.967, -3.264, -3.010)  4.857 
   Cr10  Cr8   (  0,   0,   0)  8.5205   ( 1.967, -3.264, -3.010)  4.857 
   Cr3   Cr9   (  0,   1,   0)  8.6758   ( 1.967,  3.264,  3.010)  4.857 
   Cr11  Cr2   (  1,   0,   0)  8.6701   ( 1.967, -3.264, -3.010)  4.857 
   Cr12  Cr3   (  1,   0,   0)  8.4991   ( 1.967, -3.264, -3.010)  4.857 
   Cr3   Cr12  ( -1,   0,   0)  8.4991   (-1.967,  3.264,  3.010)  4.857 
   Cr9   Cr6   ( -1,   0,   0)  8.4847   (-1.967,  3.264,  3.010)  4.857 
   Cr6   Cr9   (  1,   0,   0)  8.4847   ( 1.967, -3.264, -3.010)  4.857 
   Cr7   Cr10  (  1,   0,  -1)  8.6601   ( 1.967, -3.264, -3.010)  4.857 
   Cr10  Cr7   ( -1,   0,   1)  8.6601   (-1.967,  3.264,  3.010)  4.857 
   Cr6   Cr12  (  0,  -1,   0)  8.6960   (-1.967, -3.264, -3.010)  4.857 
   Cr5   Cr9   (  0,   0,   0)  8.6874   (-1.967,  3.264,  3.010)  4.857 
   Cr5   Cr12  (  0,   0,   0)  8.5209   ( 1.967,  3.264,  3.010)  4.857 
   Cr9   Cr5   (  0,   0,   0)  8.6874   ( 1.967, -3.264, -3.010)  4.857 
   Cr12  Cr5   (  0,   0,   0)  8.5209   (-1.967, -3.264, -3.010)  4.857 
   Cr12  Cr6   (  0,   1,   0)  8.6960   ( 1.967,  3.264,  3.010)  4.857 
   Cr1   Cr10  (  0,  -1,  -1)  8.6287   (-1.967, -3.264, -3.010)  4.857 
   Cr1   Cr11  (  0,   0,  -1)  8.4999   ( 1.967, -3.264, -3.010)  4.857 
   Cr7   Cr11  (  0,   0,  -1)  8.4523   (-1.967, -3.264, -3.010)  4.857 
   Cr11  Cr1   (  0,   0,   1)  8.4999   (-1.967,  3.264,  3.010)  4.857 
   Cr11  Cr7   (  0,   0,   1)  8.4523   ( 1.967,  3.264,  3.010)  4.857 
   Cr10  Cr1   (  0,   1,   1)  8.6287   ( 1.967,  3.264,  3.010)  4.857 
   Cr4   Cr12  (  0,   0,   0)  8.5997   ( 1.967, -3.264, -3.010)  4.857 
   Cr12  Cr4   (  0,   0,   0)  8.5997   (-1.967,  3.264,  3.010)  4.857 
   Cr4   Cr9   (  0,   0,   0)  8.4823   (-1.967, -3.264, -3.010)  4.857 
   Cr9   Cr4   (  0,   0,   0)  8.4823   ( 1.967,  3.264,  3.010)  4.857 
   Cr10  Cr6   ( -1,   0,   0)  6.7874   (-3.934, -0.143, -3.160)  5.048 
   Cr4   Cr11  (  0,   1,   0)  6.7943   ( 3.934,  0.143,  3.160)  5.048 
   Cr6   Cr10  (  1,   0,   0)  6.7874   ( 3.934,  0.143,  3.160)  5.048 
   Cr11  Cr4   (  0,  -1,   0)  6.7943   (-3.934, -0.143, -3.160)  5.048 
   Cr9   Cr7   ( -1,  -1,   0)  6.7682   (-3.934, -0.143, -3.160)  5.048 
   Cr4   Cr11  ( -1,   0,   0)  6.8708   (-3.934,  0.143,  3.160)  5.048 
   Cr6   Cr10  (  0,  -1,   0)  6.7777   (-3.934,  0.143,  3.160)  5.048 
   Cr11  Cr4   (  1,   0,   0)  6.8708   ( 3.934, -0.143, -3.160)  5.048 
   Cr7   Cr9   (  1,   1,   0)  6.7682   ( 3.934,  0.143,  3.160)  5.048 
   Cr1   Cr12  ( -1,  -1,   0)  6.7614   (-3.934,  0.143,  3.160)  5.048 
   Cr9   Cr8   ( -1,  -1,   0)  6.7757   (-3.934,  0.143,  3.160)  5.048 
   Cr1   Cr12  (  0,   0,   0)  6.8124   ( 3.934,  0.143,  3.160)  5.048 
   Cr12  Cr1   (  0,   0,   0)  6.8124   (-3.934, -0.143, -3.160)  5.048 
   Cr10  Cr6   (  0,   1,   0)  6.7777   ( 3.934, -0.143, -3.160)  5.048 
   Cr8   Cr9   (  1,   1,   0)  6.7757   ( 3.934, -0.143, -3.160)  5.048 
