190,0,4,-1,-1,0,1.51773E-22
191,6,2,0,-1,0,1.51357E-22
192,0,2,1,0,0,1.49483E-22
193,5,7,1,0,0,1.48842E-22
194,2,0,-1,0,0,1.49483E-22
195,4,0,1,1,0,1.51773E-22
196,7,3,1,1,0,1.51069E-22
197,5,1,0,-1,0,1.51693E-22
198,1,5,0,1,0,1.51693E-22
199,2,6,0,1,0,1.51357E-22
200,2,4,-1,1,0,1.36971E-23
201,4,2,1,-1,0,1.36971E-23
202,7,1,0,1,0,1.39054E-23
203,3,5,-1,1,0,1.40495E-23
204,1,7,0,-1,0,1.39054E-23
205,5,3,1,-1,0,1.40495E-23
206,9,10,0,0,0,-9.3717E-24
207,10,9,0,0,0,-9.3717E-24
208,0,6,0,-1,0,1.41937E-23
209,8,11,0,-1,0,-9.2115E-24
210,6,0,1,0,0,1.37131E-23
211,7,1,1,0,0,1.42578E-23
212,11,8,1,0,0,-9.48384E-24
213,0,6,-1,0,0,1.37131E-23
214,1,7,-1,0,0,1.42578E-23
215,8,11,-1,0,0,-9.48384E-24
216,6,0,0,1,0,1.41937E-23
217,11,8,0,1,0,-9.2115E-24
218,9,10,-1,1,0,-9.08334E-24
219,10,9,1,-1,0,-9.08334E-24
220,2,4,0,0,0,1.37612E-23
221,3,5,0,0,0,1.39694E-23
222,4,2,0,0,0,1.37612E-23
223,5,3,0,0,0,1.39694E-23
224,1,5,-1,-1,0,3.05662E-23
225,4,0,0,-1,0,3.06142E-23
226,7,3,0,-1,0,3.047E-23
227,1,3,1,0,0,2.82272E-23
228,4,6,1,0,0,2.68175E-23
229,3,1,-1,0,0,2.82272E-23
230,0,4,0,1,0,3.06142E-23
231,3,7,0,1,0,3.047E-23
232,2,0,1,1,0,2.84355E-23
233,5,1,1,1,0,3.05662E-23
234,0,2,-1,-1,0,2.84355E-23
235,2,6,-1,-1,0,3.07904E-23
236,5,7,-1,-1,0,2.79869E-23
237,6,4,-1,0,0,2.68175E-23
238,6,2,1,1,0,3.07904E-23
239,7,5,1,1,0,2.79869E-23
